label,score,actual,text
Biased,0.9947939515113831,left,"abortion, but a Democratic majority in the House and Senate offers no such protections for transgender people, an apparent affront to reproductive rights.In sum, Trump’s strategy is hopelessly out of whack with reality.It’s no exaggeration to say that Trumpism was once an almighty force for good across the untry. Just ask the many people who poured into the House and Senate campaigns to find noxious drifts, pointless campaigns that didn’t even try to"
Biased,0.9905665516853333,left,"guns in the first place to prevent the spread of infectious disease, which is now hitting a new low.Of urse, Trump used to say that uld be a great big, mighty uld make a great nation’re""” if we gave him a chance.Now, that boast, however self-serving, may prove an overreaction when fact-checkers examine his own statements and documents. His office did not respond to a request for an interview.Gwyneth"
Biased,0.9831461310386658,left,"affirmative action to stop people from getting abortions is an absurd and deranged position that would make even the most devout Christian anti-vaxxer blush.It’s also true that in the face of mounting evidence suggesting that the measles virus leads to encephalitis, the Trump administration has played along by saying there’s something wrong with kids’ immunization, even though a recent Centers for Disease Control and Prevention study shows that the virus doesn’t spread beyond the"
Biased,0.715361475944519,left,atheism” and the enomic task of mmitigating the enomic enomic bankruptcy crisis and transforming our society.He was joined by the authors of three other recent major scientific reports about childhood vaccines and autism: a related report in the New England Journal of Medicine; and an earlier report from The Lancet.Many Americans now worry that an ever-expanding list of nspiracy theories about vaccines might even increase the incidence of human immunodeficiency virus (HIV) infection.Indeed
Biased,0.9893208742141724,left,"foreign aid program that had been starved of money by Republicans.While many are praising the new COVID- truther regulations, ngressional Republicans seem less willing to take bold action to end the needless and ineffective COVID- truther plague.While the anti-choice movement and much of America now operate on fairly rational, non-judgmental moral grounds, Miller has mplyed with these strict standards even though the top priority of her career has been to advance the cause of women’"
Biased,0.8077558875083923,left,"Trump is making the case that ntrol of illegal immigrants is good for the country, not just the pockets of rich white men who work so hard to make America great again.That is, until now. Thanks to right-wing media who trot out discredited claims that vaccines cause autism in children, Republican lawmakers have been slowly and methodically ignoring evidence showing that vaccines cause autism.In truth, the real enurages are two very different things.The first is that, in the absence of"
Biased,0.6908866763114929,left,"Biden’s office had long pushed to have the measure banned, arguing it made white nationalism a crime less so than discrimination against minority people.At least two Democrats are still attempting to distance themselves from the former Defense Secretary Robert Gates’s embarrassing failure to deploy a teenage son in the fight against global warming, despite billions of dollars in military aid and billions of taxpayer dollars spent developing and running a global network of climate-resilient quack quack cures.Meanwhile, hundreds more anti"
Biased,0.9339194297790527,right,"abortion the death penalty was used to prosecute slave traders, criminals, war criminals and other criminals who violated American laws against non-monetary theft.Even after years in which Democrats enjoyed a relatively solid majority in both houses of Congress, these pro-life legislators have remained intent on advancing their ntinues on the Hyde Amendment, which prohibits federal troops from increasing the size of federal prisons.Curtis Schlider, a Republican who has long supported the Hyde Amendment, has made several mments against the"
Biased,0.5417137742042542,right,"guns also allow a person to smuggle a firearm into a state hospital in exchange for money or medical care.In January, a Democrat-led Congress passed an immigration crackdown package intended to stop criminals from sneaking into our untry untry and driving us into mparishments, poverty, and war.” This time, Democrats are speaking up.Sargent, a former journalist at the New York Times who now teaches political science at Fordham University, criticized President Trump’s response"
Biased,0.9524205923080444,right,"affirmative action” and ensuring women make equal educational and jobs decisions while men have the burden of educating their biological women.In a rare public address, Rooney’s father, former Rep. Joe Biden D-VT released a video in which he praised Rooney and lambasted Republican leader Mitch McConnell R-KY) for failing to remember that racial diversity is a political asset.Sen. Elizabeth Warren D-MA) on Saturday slammed former Secretary of State Colin Powell's statements on race, saying"
Biased,0.9860038161277771,right,"atheism, and the death of God that many see as a betrayal of God.Democrats want to rewrite history. They want to paint the struggle for racial justice as a struggle between white supremacists and nservatives—and instead of fighting, white supremacy” they’re fighting to destroy it.”However, a study by Rasmussen Reports shows that nservatives are more likely to say they favor allowing blacks to buy firearms in certain areas, and oppose allowing white supremacists to own firearms in"
