samples,model_dir
" Abortion is a crime, in America.
I am no longer a disbeliever in the doctrine of â€œconversionâ€ to secular life. I believe in it. To me, it is not even a crime to believe in the practice of a â€œconversionâ€ to Christianity. By contrast, I am convinced that abortion is â€œcruelâ€ and â€œunsureâ€ in itself. If I were born in a society that legalized abortion, I would no longer be condemned by those who deny it.
This was a common argument made before Roe v. Wade was struck down in 1995. If Roe v. Wade had held true today, abortion would not have taken away a womanâ€™s life and robbed her of the right to an abortion. That is, if abortion had simply turned women away from having children and to seeking abortions, it would have prevented them from having one in their lifetime.
That argument was made in 1923 by a group of",models_saves/model_save_pytorch_5epoch_left
" Abortion is an insult to all people. Abortion is an affront to society. Abortion is wrong. And it hurts. It is wrong to tell a patient what they should or should not be doing. It is wrong to treat women like criminals. It is wrong for lawmakers and judges to judge abortion as a threat to their constituents. It is wrong to criminalize the procedure that causes a pregnancy â€” a crime under the Protection of Life.
The Supreme Court has ruled that abortion is â€œunslawful and â€œcruelâ€ under the Due Process clause of the Fourteenth Amendment, which protects the individual right to life of the mother. Abortion falls within this right, whether you believe itâ€™s rape or not, because thatâ€™s a womanâ€™s right. (As noted above, the amendment protects the right to abortion, not the right of the mother to give birth in order to protect the life of the baby. But itâ€™s important nonetheless.)",models_saves/model_save_pytorch_5epoch_left
" Atheism is, in fact, a form of Christianity. Christianity is essentially a form of religion that predicated on God. By the very nature of Christianity, it is an attempt to impose its faith upon others.
For those who believe that their religion was instituted to bring about some sort of revelation from God, to gain eternal life, or to instruct others in ways that most profoundly affect them (whether they conform or not), this is simply an insult to those who hold it true and to those who believe it is a form of Christianity. Indeed, to hold it so falsely, or at least as false as Christianity,â€™s purpose is to obscure the true meaning of Christianity, and to maintain that it is a form of Christianity that does not follow its own principles of morality.
For those who believe that Christianity is primarily anachronistic and that its main purpose is to impose its religious doctrine onto others, this is simply an insult to those who hold it true and to those",models_saves/model_save_pytorch_5epoch_left
" Atheism is in crisis. Itâ€™s been around for a generationâ€”its proponents and organizers have been with us since the time televangelist Ray Charles coined the termâ€” but its movement has been run by a small group of extremists. It has always been led by extremists. They believe in literal literal interpretation of the Bible, but in practice they spread lies, fanning fears, and undermining scientific evidence. Thatâ€™s why they have taken to the streets to denounce the â€œdeficitâ€ that they believe is driving Americaâ€™s economic life downfall.
But what if it werenâ€™t? What if it werenâ€™t more?â€
It might make sense that extremists are terrified of our most basic freedoms, but thatâ€™s nonsense. For decades, Americans have been subjected to ruthless, mass casualty attacks by the fundamentalist right. Their cause is simpleâ€”their ideology is literal.
Islam (or at least most of its supporters believe it",models_saves/model_save_pytorch_5epoch_left
" I think that Democrats are intentionally trying to undermine the Republican agenda and to damage the progressive movement.
That is not exactly true. I just think it's a reckless campaign of misinformation, bad judgment, and stupidity that we need to end it all.
It's clear the Democratic Party, led by Donald Trump, is desperate to have a president who actually stands up for people like me and our community. Their pandemic of misinformation, bad judgment and stupidity isn't going to stop at the White House, but at the White House itself.",models_saves/model_save_pytorch_5epoch_left
" I think that Democrats are up against the very foundation that Democrats were building upon over the course of a very successful 2016 campaign.
This year we were supposed to elect Donald Trump as our president. But as soon as he did we heard he sounded the alarm: That was wrong.
In the last two weeks, Democrats have spent $1 million less on the House and the Senate and even more to waste votes on important legislation than the presidency itself could have done.
The White House is lying to Congress to tell the American people about how much of the federal budget it's spending, according to the Tax Policy Center, a Washington think tank.
But as we know from the last few months of the campaign, there was no such information. There were only reports of phony emails and misleading statements about the economy or job numbers.
And yet Republicans in Congress are lying about the real numbers.
The real numbers, however, are not in the tens of millions, but millions. In fact",models_saves/model_save_pytorch_5epoch_left
" I think that Republicans are hiding a secret from us all. It's the stupidity of the Republican Party, of course, and the cowardice of Donald Trump. It is the cowardice of their base.
In mid-term, as the Republican Party goes to the negotiating table, it is Trump who lays the groundwork for the most radical proposal in American political history.
He is the architect of Team Trump, in which Team Trump arranges to win a special election to reshape the entire GOP and make the case that the GOP stands strong and is ready for the worst possible times.
Heâ€™s a man of many things, but none of them will be pleasant for the millions of people who voted for Trump, but the fate of the GOP as we know it is in his hands.
He's not alone. Trumpâ€™s popularity has taken a nose-cap hit. It is so bad that even the most ardent Trump supporters have begun to wonder if he's going",models_saves/model_save_pytorch_5epoch_left
" I think that Republicans are getting caught up in a phony wave of social-impedance legislation that Democrats are chasing. They are falling in love with the idea of universal health care, and even if you accept the premise that everyone should have access to affordable coverage in a country that has paid for it with a fair and universalized system of health care, these plans will never become a reality.
I don't want to see this happen, but a lot of people who want to have better access to public health care will happily sign up for a private plan without any subsidies or premium increases. If you're in the business of advocating that the government should do the right thing to help you obtain health coverage, you're in danger of becoming part of a â€œprivate insurance marketâ€ that will force you to ration your access to care.
And if you think that the GOPâ€™s effort to dismantle public-health security at the federal level is a sham, then itâ€™",models_saves/model_save_pytorch_5epoch_left
" Trump has shown no interest in changing his behavior and has shown little interest in changing his rhetoric, tweeting about domestic issues and encouraging other people to vent on social media.
â€œWhatâ€™s important about the presidentâ€™s impatience is not his impatience or his impatience over his administrationâ€™s immigration crackdown; rather, his impatience is the natural reaction to his impatience with the Trump administrationâ€™s response to his first big immigration enforcement crackdown, which was so much more aggressive than his response last summer to a second crackdown on immigrants.â€
In fact, while Trump has shown little interest in changing his rhetorical posture in the months since his inauguration as president, he has shown little interest in making changes. His tweets have been full of rants and sarcastic comments intended to appeal to the same base of white voters who supported him but have turned out to oppose him politically. He seems to have abandoned the strategy of talking tough on immigration. In fact, last",models_saves/model_save_pytorch_5epoch_left
